,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,clusters
8715,1,30,1.0,2,0,0,49,1
8716,1,39,3.0,5,0,0,70,3
8717,1,32,3.0,7,0,0,84,3
8718,1,51,2.0,4,0,0,76,3
8719,1,30,3.0,3,0,0,87,3
8720,1,38,2.0,5,0,0,60,2
8721,1,41,3.0,7,1,0,49,1
8722,1,23,4.0,2,0,0,60,2
8723,2,28,3.5,1,1,0,80,3
8724,1,48,3.0,14,1,0,52,1
8725,1,35,3.0,10,0,0,50,1
8726,1,40,5.0,5,0,0,57,2
8727,1,39,4.0,12,1,0,51,1
8728,1,29,3.0,4,0,0,82,3
8729,1,30,3.0,3,0,0,82,3
8730,1,39,3.0,3,0,0,82,3
8731,1,36,3.0,3,0,0,69,3
8732,1,32,3.0,4,0,0,50,1
8733,2,42,3.0,5,0,0,80,3
8734,1,38,4.0,8,1,0,76,3
8735,1,27,4.0,3,1,0,51,1
8736,3,28,1.0,6,0,0,49,1
8737,1,29,3.5,1,0,0,50,1
8738,1,34,5.0,5,1,0,69,3
8739,1,37,5.0,5,1,0,62,2
8740,1,24,3.0,2,0,0,59,2
8741,2,27,3.0,6,0,0,48,1
8742,1,39,5.0,5,1,0,80,3
8743,1,29,1.0,7,0,0,50,1
8744,2,27,3.0,3,1,0,82,3
8745,1,27,3.0,3,0,0,81,3
8746,1,54,3.0,22,0,0,76,3
8747,1,34,3.0,5,0,0,52,1
8748,1,47,3.0,18,1,0,59,2
8749,1,25,4.0,3,1,0,50,1
8750,1,34,5.0,6,0,0,70,3
8751,1,46,4.0,4,1,0,67,3
8752,1,24,3.5,1,0,0,60,2
8753,1,34,5.0,3,1,0,44,1
8754,1,30,5.0,7,1,1,48,3
8755,1,33,3.0,4,0,0,49,1
8756,1,54,1.0,4,0,0,52,1
8757,1,26,4.0,3,0,0,48,1
8758,1,24,3.5,1,1,0,48,1
8759,2,24,3.5,1,0,0,48,1
8760,2,25,3.5,1,1,0,55,2
8761,1,38,1.0,10,0,0,49,1
8762,2,28,4.0,2,0,0,60,2
8763,1,28,3.5,1,0,0,83,3
8764,1,39,5.0,10,1,0,63,2
8765,1,24,3.5,1,0,0,44,1
8766,1,27,3.5,1,0,0,83,3
8767,1,35,2.0,7,0,0,81,3
8768,1,34,5.0,6,1,0,57,2
8769,1,43,5.0,4,1,0,62,3
8770,1,41,5.0,12,1,0,69,3
8771,1,59,3.0,6,1,1,62,3
8772,1,32,5.0,7,1,0,49,1
8773,1,28,4.0,3,0,0,62,2
8774,3,29,3.0,3,0,0,52,1
8775,1,37,3.0,5,1,1,59,3
8776,1,30,3.5,1,0,0,50,1
8777,1,48,3.0,7,0,0,51,1
8778,1,42,2.0,3,0,0,61,2
8779,1,31,5.0,3,1,0,55,1
8780,1,29,5.0,3,1,0,58,2
8781,1,29,2.0,6,1,0,83,3
8782,2,43,3.0,7,0,0,50,2
8783,3,45,3.0,16,0,0,59,2
8784,1,25,3.0,2,1,0,64,2
8785,1,39,3.0,6,0,0,85,3
8786,1,41,4.0,6,0,0,55,2
8787,1,38,2.0,4,0,0,54,1
8788,1,26,5.0,3,1,0,81,3
8789,1,28,4.0,3,1,0,93,3
8790,1,26,3.5,1,1,0,52,2
8791,2,44,3.0,12,0,0,56,1
8792,1,45,3.0,16,0,0,49,1
8793,1,39,4.0,11,1,0,61,2
8794,1,37,1.0,7,0,0,50,1
8795,1,26,4.0,3,1,0,48,2
8796,3,39,5.0,13,0,0,81,3
8797,2,28,1.0,3,0,0,84,3
8798,1,31,1.0,2,0,0,58,2
8799,1,26,3.0,3,0,0,44,2
8800,1,38,5.0,9,1,0,87,3
8801,1,37,3.0,13,0,0,57,2
8802,1,32,3.0,8,0,0,60,2
8803,1,21,3.5,1,0,0,60,2
8804,1,28,3.5,1,1,0,69,3
8805,1,28,3.0,3,0,0,86,3
8806,9,36,4.0,3,1,0,73,3
8807,1,47,5.0,20,0,0,50,1
8808,1,30,3.0,3,1,0,59,2
8809,1,38,4.0,4,0,0,61,2
8810,1,26,3.0,2,0,0,75,3
8811,1,39,3.0,3,1,0,73,2
8812,1,39,3.0,10,0,0,69,3
8813,2,30,5.0,8,1,0,85,3
8814,1,35,3.0,9,1,0,58,2
8815,1,27,4.0,2,0,0,61,2
8816,1,29,3.5,1,1,0,90,3
8817,1,25,3.0,2,1,0,61,2
8818,1,35,3.0,7,1,0,48,2
8819,1,30,5.0,5,1,0,76,3
8820,1,45,5.0,14,1,0,58,2
8821,2,26,2.0,2,0,0,51,1
8822,1,28,4.0,4,0,0,55,1
8823,2,43,3.0,5,0,0,63,2
8824,1,59,5.0,6,1,0,72,3
8825,1,41,5.0,6,1,0,71,3
8826,1,31,2.0,5,0,0,60,2
8827,2,32,3.0,5,0,0,55,2
8828,1,42,1.0,6,1,0,69,3
8829,2,34,3.0,8,1,0,85,3
8830,1,32,5.0,5,1,0,82,3
8831,1,28,3.0,2,0,0,50,2
8832,1,31,4.0,7,0,0,51,1
8833,2,40,1.0,6,1,0,49,1
8834,1,27,4.0,4,1,0,49,1
8835,1,29,1.0,4,0,0,80,3
8836,1,27,4.0,4,1,0,82,3
8837,1,32,5.0,3,0,0,51,1
8838,1,32,5.0,6,1,0,60,2
8839,1,25,4.0,2,0,0,86,3
8840,1,37,3.0,7,1,0,57,2
8841,1,28,3.5,1,0,0,52,1
8842,1,37,1.0,10,0,0,62,2
8843,4,29,4.0,5,0,0,50,1
8844,1,29,3.0,4,0,0,47,2
8845,1,36,3.0,3,0,0,84,3
8846,1,40,5.0,10,0,0,83,3
8847,1,37,1.0,11,0,0,51,1
8848,1,26,5.0,4,1,0,59,2
8849,1,55,3.0,12,0,0,51,1
8850,1,26,1.0,2,0,0,88,3
8851,1,34,3.0,2,1,0,43,1
8852,2,45,5.0,7,1,0,80,3
8853,2,20,3.5,1,1,0,46,1
8854,1,41,5.0,7,1,0,63,2
8855,1,35,2.0,9,0,0,63,2
8856,1,35,3.0,8,1,0,60,2
8857,1,43,5.0,2,1,0,53,1
8858,1,53,4.0,12,0,0,58,2
8859,1,25,3.5,1,0,0,53,1
8860,1,33,3.0,4,0,0,75,3
8861,2,26,3.5,1,0,0,86,3
8862,2,48,5.0,3,1,1,57,3
8863,1,30,3.5,1,0,0,40,1
8864,1,32,3.0,7,0,0,49,2
8865,2,34,5.0,6,0,0,82,3
8866,1,30,3.0,2,0,0,59,2
8867,1,37,1.0,9,0,0,50,2
8868,1,34,5.0,7,1,0,61,2
8869,1,28,3.0,4,1,0,51,1
8870,2,44,3.0,11,0,0,51,1
8871,1,28,3.0,2,1,0,63,2
8872,1,38,4.0,4,1,0,47,1
8873,1,28,1.0,3,0,0,51,1
8874,1,34,3.0,6,0,0,50,1
8875,1,49,3.0,9,0,0,50,1
8876,1,27,4.0,4,1,0,81,3
8877,2,29,3.5,1,0,0,84,3
8878,1,29,3.0,7,0,0,65,3
8879,1,33,1.0,8,0,0,49,1
8880,1,29,4.0,3,1,0,82,3
8881,2,30,3.0,5,0,0,86,3
8882,1,31,3.0,4,1,1,83,3
8883,1,25,3.5,1,0,0,62,2
8884,2,36,4.0,5,0,0,48,1
8885,1,26,3.0,2,0,0,80,3
8886,1,31,3.0,3,0,0,59,2
8887,1,36,5.0,4,1,0,87,3
8888,2,47,4.0,17,0,0,52,1
8889,1,28,3.0,5,0,0,87,3
8890,3,29,2.0,4,0,0,45,1
8891,2,26,5.0,5,1,0,85,3
8892,1,31,3.0,4,0,0,62,2
8893,2,35,2.0,7,0,0,77,3
8894,2,33,3.0,6,0,0,52,1
8895,1,34,3.0,3,0,0,56,2
8896,1,27,5.0,2,1,0,59,2
8897,1,23,3.5,1,1,0,48,1
8898,1,36,5.0,5,1,0,52,1
8899,1,21,4.0,2,0,0,52,2
8900,2,38,3.0,10,0,0,48,1
8901,1,35,3.0,7,0,0,63,2
8902,1,28,3.5,1,0,0,57,2
8903,1,23,3.5,1,0,0,49,1
8904,1,55,4.0,16,0,0,51,2
8905,1,51,4.0,3,0,0,51,1
8906,1,50,3.0,15,1,0,46,2
8907,2,36,2.0,5,0,0,81,3
8908,1,24,3.0,2,0,0,61,2
8909,1,36,4.0,10,0,0,60,2
8910,1,26,3.5,1,0,0,52,1
8911,1,32,3.5,1,1,0,48,1
8912,1,35,3.0,2,0,0,74,3
8913,1,34,5.0,6,0,0,81,3
8914,1,47,4.0,19,0,0,60,2
8915,1,60,3.0,4,0,0,73,3
8916,1,41,4.0,12,0,0,50,1
8917,1,27,3.0,3,0,0,49,1
8918,1,34,1.0,5,0,0,72,3
8919,2,25,3.5,1,1,0,72,2
8920,1,43,3.0,5,1,0,79,3
8921,3,55,3.0,4,0,0,61,2
8922,1,40,5.0,2,1,0,56,2
8923,1,26,3.0,4,1,0,80,3
8924,3,40,3.0,4,0,0,68,3
8925,1,49,3.0,16,0,0,63,2
8926,1,25,3.5,1,0,0,84,3
8927,1,35,5.0,7,0,0,50,1
8928,2,31,3.0,7,0,0,83,3
8929,1,34,4.0,8,0,0,52,1
8930,1,28,3.0,5,0,0,59,2
8931,1,20,5.0,2,0,0,47,2
8932,1,30,2.0,2,0,0,48,1
8933,1,31,4.0,4,1,0,54,2
8934,1,33,1.0,7,0,0,81,3
8935,1,34,4.0,5,0,0,83,3
8936,1,29,3.5,1,0,0,54,1
8937,1,28,5.0,5,1,0,69,3
8938,1,31,4.0,5,1,0,57,2
8939,1,31,5.0,6,1,0,48,2
8940,1,30,3.5,1,1,0,69,3
8941,1,38,3.0,10,0,0,47,1
8942,1,37,1.0,2,0,0,47,2
8943,1,51,1.0,15,0,0,81,3
8944,1,34,4.0,7,1,0,78,2
8945,1,48,3.0,18,0,0,69,3
8946,2,30,2.0,7,0,0,59,2
8947,1,32,5.0,7,1,0,81,3
8948,1,60,5.0,11,0,0,52,1
8949,1,29,4.0,5,0,0,85,3
8950,2,24,3.0,3,0,0,81,3
8951,2,29,1.0,5,0,0,46,1
8952,1,55,4.0,3,1,0,79,3
8953,1,45,5.0,17,0,0,58,2
8954,1,33,4.0,3,0,0,50,1
8955,1,27,4.0,2,0,0,50,1
8956,1,31,2.0,4,0,0,53,2
8957,1,32,3.0,7,0,0,47,1
8958,1,36,5.0,6,1,0,47,1
8959,1,35,3.0,7,0,0,69,2
8960,1,49,5.0,6,0,0,46,1
8961,1,33,3.0,7,1,0,73,3
8962,1,46,5.0,3,1,0,59,2
8963,1,20,3.0,2,0,0,50,1
8964,1,40,5.0,3,1,0,48,1
8965,2,47,4.0,3,0,0,56,1
8966,1,33,4.0,6,1,0,53,1
8967,1,34,1.0,8,0,0,46,1
8968,1,43,2.0,11,0,0,47,1
8969,1,25,5.0,2,0,0,90,3
8970,1,43,2.0,8,1,0,53,1
8971,1,29,3.0,5,0,0,86,3
8972,3,31,3.0,8,0,0,52,1
8973,1,55,4.0,15,0,0,71,3
8974,5,31,3.0,6,1,0,52,3
8975,2,25,2.0,3,0,0,54,1
8976,1,29,3.5,1,1,0,74,3
8977,1,33,4.0,6,1,0,81,2
8978,1,27,4.0,2,0,0,83,3
8979,1,27,3.5,1,0,0,67,3
8980,2,40,3.0,5,0,0,74,3
8981,1,34,3.0,8,1,0,59,2
8982,1,28,3.0,7,0,0,77,3
8983,1,52,5.0,16,1,0,66,2
8984,1,34,4.0,3,0,0,80,3
8985,1,44,4.0,5,0,0,60,2
8986,1,33,4.0,8,0,0,63,2
8987,1,34,1.0,7,0,0,49,1
8988,2,25,1.0,3,0,0,51,1
8989,1,24,4.0,2,0,0,52,1
8990,1,27,5.0,2,1,0,84,3
8991,1,30,3.0,6,0,0,47,1
8992,1,27,3.5,1,0,0,47,1
8993,1,29,3.5,1,1,0,57,2
8994,1,29,3.5,1,1,0,83,3
8995,1,33,3.0,9,0,0,43,1
8996,1,49,5.0,19,1,0,50,1
8997,1,40,3.0,4,0,0,77,3
8998,1,44,5.0,7,0,0,48,2
8999,2,32,2.0,4,0,0,53,1
9000,1,28,3.0,2,0,0,46,1
9001,1,26,5.0,4,1,0,86,3
9002,3,41,5.0,4,1,0,57,2
9003,1,32,3.0,7,0,0,81,3
9004,2,37,5.0,9,1,0,62,2
9005,1,59,5.0,13,0,0,72,3
9006,1,46,1.0,15,0,0,56,2
9007,1,36,4.0,10,0,0,74,2
9008,1,37,5.0,9,1,0,63,2
9009,1,29,3.0,3,0,0,49,2
9010,1,50,5.0,3,1,0,84,3
9011,1,30,2.0,2,0,0,70,3
9012,1,53,3.0,11,0,0,61,2
9013,1,34,3.0,6,1,0,59,2
9014,1,31,3.0,8,0,0,69,3
9015,1,25,3.5,1,1,0,50,1
9016,1,40,2.0,11,1,0,57,2
9017,1,46,1.0,3,0,0,49,1
9018,1,27,5.0,2,1,0,49,2
9019,1,39,3.0,5,0,0,49,1
9020,1,31,1.0,2,0,0,70,3
9021,1,39,5.0,9,1,0,78,3
9022,1,27,3.0,2,0,0,67,3
9023,1,38,3.0,6,0,0,43,1
9024,1,48,5.0,16,1,0,58,2
9025,1,33,4.0,6,0,0,48,1
9026,2,32,1.0,6,0,0,82,3
9027,3,50,3.0,4,1,0,70,3
9028,1,42,5.0,13,0,0,59,2
9029,1,39,4.0,7,0,0,73,3
9030,1,33,4.0,8,0,0,51,1
9031,1,39,4.0,9,0,0,59,2
9032,1,40,5.0,9,0,0,47,2
9033,6,28,3.5,1,0,0,50,3
9034,1,41,1.0,7,0,0,50,1
9035,1,30,2.0,6,1,0,62,2
9036,2,25,1.0,3,0,0,52,1
9037,1,33,4.0,4,1,0,57,2
9038,1,54,4.0,3,0,0,80,3
9039,1,34,3.0,6,0,0,49,1
9040,1,36,3.0,4,1,0,86,3
9041,1,26,3.5,1,1,0,84,3
9042,1,32,5.0,9,0,0,60,2
9043,1,34,5.0,4,1,0,59,2
9044,1,32,1.0,6,0,0,59,2
9045,1,26,3.5,1,0,0,77,3
9046,1,28,3.5,1,0,0,48,1
9047,1,35,5.0,2,1,0,49,1
9048,1,38,5.0,9,1,0,69,3
9049,1,26,5.0,3,0,0,50,1
9050,1,40,3.0,5,1,0,48,2
9051,1,29,2.0,5,1,0,79,3
9052,1,28,5.0,5,1,0,47,1
9053,1,37,5.0,10,0,0,46,2
9054,1,29,5.0,2,0,0,84,3
9055,1,58,3.0,11,1,0,60,2
9056,1,33,4.0,3,0,0,52,2
9057,1,28,5.0,3,1,0,53,1
9058,1,34,5.0,2,0,0,62,2
9059,2,50,5.0,5,1,0,72,3
9060,1,27,3.0,3,0,0,54,2
9061,1,58,5.0,15,1,0,67,3
9062,1,53,3.0,3,1,0,55,1
9063,2,26,3.0,3,0,0,80,3
9064,1,50,3.0,6,1,0,64,3
9065,2,41,2.0,15,0,0,49,1
9066,1,34,3.0,7,0,0,85,3
9067,1,29,3.0,9,0,0,61,2
9068,1,38,3.0,8,0,0,86,3
9069,3,29,1.0,4,0,0,50,1
9070,1,34,3.0,7,1,0,59,2
9071,1,41,5.0,4,1,0,56,2
9072,1,40,3.0,8,0,0,50,2
9073,1,56,1.0,14,0,0,61,2
9074,2,31,3.5,1,0,0,56,2
9075,1,30,4.0,4,1,0,58,2
9076,1,50,3.0,9,1,0,68,3
9077,2,34,5.0,2,1,0,71,3
9078,1,29,3.0,7,1,0,62,2
9079,1,35,3.0,3,1,0,65,3
9080,1,42,3.0,7,0,0,44,1
9081,2,29,5.0,3,1,0,77,3
9082,1,35,4.0,10,1,0,57,2
9083,1,29,4.0,2,1,0,83,3
9084,1,60,2.0,17,1,0,70,3
9085,2,44,3.0,13,0,0,62,2
9086,1,29,1.0,4,0,0,66,2
9087,1,35,5.0,9,1,0,63,2
9088,1,34,1.0,4,0,0,46,1
9089,2,48,5.0,17,0,1,91,3
9090,1,29,5.0,4,1,0,46,1
9091,1,43,5.0,5,0,0,80,3
9092,2,40,1.0,6,1,0,49,1
9093,1,38,5.0,8,0,0,52,1
9094,1,30,5.0,2,1,0,59,2
9095,1,27,2.0,2,0,0,81,3
9096,2,28,4.0,6,1,0,83,3
9097,2,37,1.0,4,0,0,53,1
9098,1,27,3.0,3,1,0,69,3
9099,1,45,3.0,5,0,0,58,2
9100,1,30,5.0,2,1,0,76,3
9101,1,37,5.0,10,1,0,80,3
9102,1,36,5.0,3,1,0,53,1
9103,1,28,3.0,5,0,0,70,3
9104,1,28,3.5,1,0,0,46,1
9105,1,39,3.0,11,0,0,60,2
9106,2,27,3.5,1,1,0,70,3
9107,1,45,5.0,5,0,0,96,2
9108,1,38,5.0,8,0,0,69,3
9109,1,33,5.0,7,1,0,79,3
9110,2,50,3.0,11,0,0,86,3
9111,1,33,5.0,5,0,0,80,3
9112,1,35,3.0,10,0,0,64,2
9113,1,38,4.0,11,0,0,46,1
9114,1,53,2.0,6,0,0,48,1
9115,1,41,3.0,14,0,0,51,1
9116,1,29,3.0,3,0,0,45,1
9117,1,38,4.0,10,0,0,63,2
9118,2,26,1.0,1,0,0,49,1
9119,1,28,3.0,3,0,0,60,2
9120,1,46,3.0,5,0,0,83,3
9121,1,35,5.0,4,1,0,78,3
9122,1,36,1.0,4,0,0,71,3
9123,1,29,4.0,4,1,0,72,3
9124,4,25,3.5,1,0,0,52,1
9125,1,27,3.5,1,0,0,50,1
9126,1,34,2.0,9,1,0,51,1
9127,1,32,3.0,6,0,0,84,3
9128,1,40,4.0,9,0,0,44,1
9129,1,49,3.0,18,1,0,46,1
9130,1,29,4.0,6,0,0,54,2
9131,1,34,5.0,3,0,0,79,3
9132,1,28,1.0,6,1,0,86,3
9133,1,39,3.0,3,1,0,60,2
9134,2,39,3.0,2,1,0,58,2
9135,1,36,5.0,7,0,0,68,3
9136,1,31,4.0,5,0,0,55,2
9137,2,22,1.0,2,0,0,43,2
9138,1,27,2.0,5,1,0,54,1
9139,2,33,3.0,5,0,0,52,1
9140,1,41,4.0,13,0,0,78,3
9141,1,26,3.0,3,1,0,85,3
9142,1,41,3.0,12,0,0,57,2
9143,1,47,5.0,19,1,0,59,2
9144,1,26,5.0,2,1,0,50,2
9145,1,34,5.0,5,0,0,47,1
9146,1,49,5.0,17,1,0,62,2
9147,1,36,2.0,5,1,0,45,1
9148,1,36,4.0,4,1,0,61,2
9149,2,31,5.0,5,1,0,57,2
9150,1,35,1.0,6,0,0,58,2
9151,1,39,3.0,8,0,0,61,2
9152,1,31,4.0,4,0,0,49,1
9153,1,34,3.0,4,0,0,59,2
9154,1,33,4.0,2,1,0,50,1
9155,1,35,3.0,8,0,0,50,1
9156,1,41,1.0,7,0,0,60,2
9157,1,39,2.0,4,0,0,80,3
9158,1,40,4.0,6,1,0,81,3
9159,1,29,4.0,4,0,0,61,2
9160,2,41,3.0,9,0,0,83,3
9161,1,35,5.0,7,0,0,55,1
9162,1,33,3.0,3,0,0,49,1
9163,1,27,5.0,3,0,0,83,3
9164,1,27,4.0,4,0,0,60,2
9165,1,34,4.0,4,0,0,52,1
9166,1,30,3.0,6,1,0,63,2
9167,1,29,4.0,5,1,0,85,3
9168,1,27,5.0,4,0,0,52,1
9169,3,29,3.5,1,1,0,51,1
9170,1,28,4.0,5,0,0,50,1
9171,1,24,5.0,2,0,0,52,2
9172,1,37,3.0,9,0,0,71,3
9173,1,32,3.0,6,1,0,86,3
9174,1,30,5.0,2,1,0,57,2
9175,2,31,5.0,2,1,0,87,3
9176,1,46,3.0,10,0,0,61,2
9177,2,32,3.0,6,0,0,50,1
9178,1,39,1.0,3,0,0,81,3
9179,1,40,4.0,14,0,0,52,1
9180,1,28,1.0,4,0,0,85,3
9181,1,23,5.0,2,0,0,71,2
9182,1,41,2.0,10,0,0,71,3
9183,2,29,3.5,1,0,0,47,1
9184,1,35,3.0,7,1,0,82,3
9185,1,51,4.0,26,1,0,79,3
9186,1,35,3.0,5,0,0,60,2
9187,1,31,4.0,6,1,0,62,2
9188,1,60,5.0,30,0,0,72,3
9189,2,29,3.0,8,0,0,46,1
9190,1,44,4.0,4,0,0,58,2
9191,1,39,1.0,11,0,0,87,3
9192,1,31,3.0,5,1,0,58,2
9193,1,33,5.0,6,1,0,54,2
9194,1,43,4.0,7,1,0,81,3
9195,1,41,4.0,9,0,0,47,1
9196,2,31,4.0,7,0,0,58,2
9197,1,22,3.5,1,1,0,82,2
9198,1,25,1.0,2,0,0,47,1
9199,1,28,3.0,5,1,0,53,1
9200,1,27,3.0,2,0,0,90,3
9201,1,36,5.0,2,1,0,59,2
9202,1,27,2.0,2,0,0,44,1
9203,3,42,3.0,13,0,0,69,3
9204,1,35,1.0,4,0,0,87,3
9205,1,29,3.0,2,1,0,60,2
9206,1,28,3.0,2,1,0,81,3
9207,1,31,3.5,1,0,0,84,3
9208,1,36,1.0,2,0,0,84,3
9209,2,33,4.0,4,0,0,84,3
9210,1,37,4.0,10,0,0,58,2
9211,1,36,3.0,6,1,1,61,3
9212,1,35,4.0,4,0,0,49,1
9213,1,36,3.0,6,1,0,67,3
9214,1,36,5.0,2,1,0,88,3
9215,1,48,5.0,20,1,0,61,2
9216,1,31,5.0,1,1,0,72,3
9217,1,28,5.0,2,0,0,87,3
9218,1,29,3.0,3,0,0,83,3
9219,1,28,5.0,2,0,0,48,1
9220,1,32,4.0,9,0,0,53,1
9221,1,29,3.0,2,0,0,78,3
9222,1,35,3.0,7,0,0,48,1
9223,1,26,5.0,2,0,0,83,3
9224,1,25,3.5,1,0,0,58,2
9225,1,38,3.0,3,1,0,48,1
9226,1,28,5.0,2,0,0,62,2
9227,1,38,4.0,13,0,0,48,1
9228,1,32,5.0,4,0,0,87,3
9229,1,30,4.0,6,0,0,60,2
9230,2,30,3.5,1,0,0,49,1
9231,4,31,5.0,5,1,0,87,3
9232,1,25,5.0,4,1,0,61,2
9233,2,47,4.0,15,0,0,72,3
9234,1,33,1.0,2,1,0,47,1
9235,2,39,3.0,11,0,0,71,3
9236,1,50,5.0,5,0,1,70,3
9237,1,35,5.0,4,0,0,61,1
9238,1,36,3.0,11,0,0,60,2
9239,1,32,1.0,9,0,1,92,3
9240,1,30,5.0,6,1,0,86,3
9241,1,55,4.0,17,0,0,65,3
9242,1,30,3.5,1,1,0,58,2
9243,1,35,1.0,9,0,0,61,2
9244,1,41,5.0,11,0,0,55,1
9245,2,26,3.0,4,0,0,66,3
9246,1,31,3.0,3,1,0,82,3
9247,1,49,4.0,8,0,0,49,1
9248,1,37,1.0,10,0,0,47,1
9249,1,46,3.0,13,0,0,59,2
9250,1,28,5.0,4,1,0,56,2
9251,1,40,5.0,10,1,0,61,2
9252,1,29,1.0,2,0,0,45,1
9253,1,24,1.0,2,0,0,82,2
9254,1,27,3.5,1,0,0,44,1
9255,1,33,1.0,3,0,0,45,1
9256,1,24,3.0,2,0,0,51,1
9257,1,51,5.0,11,0,0,78,3
9258,1,60,4.0,20,0,0,65,3
9259,1,29,4.0,4,1,0,57,2
9260,1,30,4.0,4,0,0,47,1
9261,1,37,3.0,6,0,0,73,3
9262,1,35,3.0,5,0,0,71,3
9263,1,27,3.0,4,0,0,61,2
9264,1,28,3.0,2,0,0,55,1
9265,1,54,4.0,10,1,0,59,2
9266,1,41,3.5,1,1,0,81,3
9267,1,31,3.0,4,1,0,60,2
9268,1,29,4.0,4,0,0,79,2
9269,1,26,3.5,1,0,0,83,3
9270,1,29,3.0,3,0,0,78,3
9271,1,25,3.5,1,1,0,55,2
9272,1,36,5.0,6,1,0,88,3
9273,1,30,3.5,1,1,0,48,1
9274,1,38,3.0,3,1,0,82,3
9275,2,32,3.0,9,0,0,58,2
9276,1,32,3.0,8,0,0,53,1
9277,1,38,1.0,14,0,0,53,1
9278,1,29,3.5,1,1,0,61,2
9279,1,28,3.0,4,1,0,48,1
9280,1,29,1.0,5,0,0,50,1
9281,1,35,3.0,6,0,0,52,1
9282,1,26,4.0,5,1,0,70,3
9283,1,33,2.0,7,0,0,69,3
9284,1,55,4.0,24,0,0,51,1
9285,1,40,1.0,7,0,0,47,1
9286,3,37,3.0,9,0,0,58,2
9287,2,23,3.5,1,0,0,50,1
9288,2,32,3.5,1,0,0,77,3
9289,1,28,5.0,4,1,0,66,3
9290,2,32,5.0,3,0,0,89,3
9291,1,34,4.0,3,0,0,54,1
9292,1,48,3.0,6,1,0,80,3
9293,1,53,4.0,26,0,0,49,1
9294,1,42,5.0,12,1,0,48,1
9295,1,34,5.0,8,1,0,68,3
9296,1,36,5.0,3,0,0,48,2
9297,1,33,5.0,5,0,0,58,2
9298,1,33,3.0,9,1,0,55,2
9299,1,37,2.0,2,0,0,77,3
9300,1,31,2.0,3,0,0,50,2
9301,1,22,1.0,2,1,0,49,1
9302,1,27,3.0,4,0,0,79,3
9303,4,40,5.0,5,0,0,86,3
9304,1,29,3.5,1,0,0,60,2
9305,1,34,3.0,2,1,0,80,3
9306,1,35,3.0,3,1,0,83,3
9307,1,30,5.0,3,1,0,47,1
9308,1,34,1.0,7,0,0,50,1
9309,1,28,2.0,6,0,0,85,3
9310,2,30,3.0,3,1,0,84,3
9311,1,27,3.0,2,0,0,59,2
9312,1,34,5.0,8,1,0,73,3
9313,3,36,3.0,9,0,0,51,1
9314,1,40,1.0,3,1,0,61,2
9315,1,47,3.0,18,0,0,85,3
9316,1,28,1.0,3,1,0,51,1
9317,1,30,3.5,1,1,0,77,3
9318,1,27,3.0,2,0,0,90,3
9319,1,36,5.0,10,0,0,57,2
9320,1,22,3.5,1,0,0,49,1
9321,1,25,3.0,2,0,0,58,2
9322,1,29,3.5,1,0,0,85,3
9323,1,33,4.0,7,0,0,58,2
9324,1,20,1.0,2,0,0,45,1
9325,1,35,3.0,8,0,0,51,2
9326,1,53,4.0,9,0,0,64,2
9327,1,32,5.0,5,1,0,71,3
9328,1,26,5.0,4,1,0,61,2
9329,2,42,5.0,16,0,0,62,2
9330,1,40,5.0,5,1,0,56,2
9331,2,59,3.0,7,0,0,70,3
9332,2,36,3.0,8,0,0,58,2
9333,3,27,2.0,3,0,0,70,3
9334,1,31,3.0,4,0,0,46,1
9335,1,53,5.0,3,1,0,51,1
9336,1,47,1.0,3,0,0,78,3
9337,2,26,3.5,1,0,0,84,3
9338,1,23,3.0,2,0,0,45,2
9339,1,38,3.0,11,0,0,50,2
9340,1,39,4.0,4,0,0,65,2
9341,2,36,3.0,7,0,0,45,1
9342,1,45,3.0,12,0,0,44,1
9343,1,43,3.0,17,0,0,77,3
9344,3,36,3.0,10,0,0,60,2
9345,1,27,2.0,2,0,0,50,1
9346,1,40,4.0,3,0,0,59,2
9347,1,38,3.0,3,0,0,56,2
9348,2,38,3.0,11,0,0,59,2
9349,3,48,3.0,8,0,0,69,3
9350,1,36,3.0,9,0,0,63,2
9351,1,35,3.0,6,0,0,49,1
9352,2,40,2.0,8,0,0,47,1
9353,1,43,4.0,6,0,0,60,2
9354,1,28,1.0,4,0,0,48,1
9355,1,32,3.0,5,0,0,63,2
9356,1,35,1.0,8,0,0,49,2
9357,1,32,4.0,3,1,0,80,2
9358,1,33,5.0,7,1,0,51,1
9359,1,45,3.0,2,0,0,68,3
9360,1,31,3.0,2,0,0,44,1
9361,2,38,4.0,5,1,1,54,3
9362,1,28,5.0,4,1,0,49,1
9363,2,33,5.0,6,0,0,52,1
9364,1,46,3.0,19,0,0,53,1
9365,2,27,1.0,2,0,0,54,1
9366,1,53,4.0,5,1,0,52,1
9367,1,28,5.0,5,1,0,48,1
9368,1,42,3.0,2,1,0,54,1
9369,1,33,4.0,8,1,0,50,1
9370,2,38,3.0,4,0,0,53,1
9371,1,28,5.0,2,1,0,53,1
9372,1,27,5.0,4,0,0,49,1
9373,1,36,3.0,2,0,0,81,3
9374,2,28,2.0,2,1,0,89,3
9375,2,42,5.0,5,1,0,71,3
9376,1,41,4.0,12,0,0,60,2
9377,1,27,4.0,4,0,0,48,1
9378,1,45,1.0,15,0,0,51,1
